filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
203t5 ,203,5,Sharon,1,1,0.237,0,0,151,0,0.333,1,1,4,3,37,1,508,0,0,0,0,0,0,,0,,0,0,
203t5 ,151,5,Sharon,0,0,0.333,0,1,203,1,0.237,0,1,4,0,0,1,508,0,0,0,0,0,0,,0,,0,0,
203t4,214,4,Cam,0,1,0.34,0,0,203,1,0.21,0,1,31,0,23,0,,0,0,0,0,0,0,,0,350,1,1,
203t4,203,4,Cam,1,1,0.21,0,0,214,1,0.34,0,1,31,0,29,0,,0,0,0,0,0,1,350,1,350,0,2,
203t3 ,203,3,LP,1,1,0.216,0,0,141,1,0.211,0,4,32,0,37,1,92,1,0,1,0,1,1,275,1,301,0,2,
203t3 ,141,3,LP,0,1,0.211,0,0,203,1,0.216,0,4,32,1,3,1,92,1,0,0,0,1,0,,0,301,1,1,
203t2,203,2,Cam,1,1,0.23,0,0,103,1,0.25,1,67,3,0,0,0,,0,0,0,0,0,0,,0,46,1,1,
203t2,103,2,Cam,0,1,0.25,0,1,203,1,0.23,0,67,3,0,0,0,,0,0,0,0,0,1,46,1,46,0,2,
201t5,201,5,Cam,1,1,0.325,0,0,84,0,0.354,1,11,36,5,5,0,,0,0,0,0,0,0,,0,,0,0,
201t5,84,5,Cam,0,0,0.354,0,1,201,1,0.325,0,11,36,0,0,0,,0,0,0,0,0,1,213,0,,0,0,
201t4 ,201,4,Sharon,1,1,0.3,0,0,118,1,0.42,1,11,61,1,8,0,,0,0,1,1,0,1,86,0,,0,0,
201t4 ,118,4,Sharon,0,1,0.42,0,1,201,1,0.3,0,11,61,0,0,0,,0,0,0,0,0,0,,0,,0,0,
201t3,201,3,Cam,1,1,0.288,0,0,6,0,0.109,1,7,62,0,0,1,441,1,0,0,0,0,0,,0,444,1,1,
201t3,6,3,Cam,0,0,0.109,0,1,201,1,0.288,0,7,62,0,0,1,441,0,0,0,0,0,1,444,1,444,0,2,
201t2,201,2,Sharon,1,1,0.34,0,0,96,1,0.71,0,51,13,0,0,1,8,0,0,1,1,0,0,,0,19,1,1,
201t2,96,2,Sharon,0,1,0.71,0,0,201,1,0.34,0,51,13,0,0,1,8,0,0,0,0,0,1,9,1,19,0,2,
201t1,201,1,Cam,1,1,0.32,0,0,43,0,0.18,0,5,27,0,0,0,,0,0,0,0,0,0,,0,83,1,1,
201t1,43,1,Cam,0,0,0.18,0,0,201,1,0.32,0,5,27,0,0,0,,0,0,0,0,0,1,83,1,83,0,2,
